Directory,Report PDF,Old File,New File,Total Changes,Replacements,Insertions,Deletions,Styling,Annotations
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_635.pdf,2024.emnlp-main.635.pdf,2024_emnlp-main_635.pdf,921,129,84,257,146,146
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,1576,75,114,422,370,370
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,1365,100,159,169,561,561
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_942.pdf,2024.emnlp-main.942.pdf,2024_emnlp-main_942.pdf,918,79,167,117,371,371
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1127,71,163,151,414,414
ChatGPT\Unscanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,1267,76,146,145,560,560
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,792,75,43,196,274,274
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,896,64,12,184,292,292
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_.431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_.431.pdf,750,105,34,308,101,101
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,871,48,273,17,247,247
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_228.pdf,2024.emnlp-main.228.pdf,2024_emnlp-main_228.pdf,742,33,49,112,352,352
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_238.pdf,2024.emnlp-main.238.pdf,2024_emnlp-main_238.pdf,764,32,52,134,325,325
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_260.pdf,2024.emnlp-main.260.pdf,2024_emnlp-main_260.pdf,629,116,33,261,36,36
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,860,41,55,156,312,312
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_302.pdf,2024.emnlp-main.302.pdf,2024_emnlp-main_302.pdf,591,84,23,173,100,100
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_324.pdf,2024.emnlp-main.324.pdf,2024_emnlp-main_324.pdf,735,25,60,95,345,345
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,649,121,39,259,76,76
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,798,81,53,150,308,308
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,785,77,66,105,353,353
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_635.pdf,2024.emnlp-main.635.pdf,2024_emnlp-main_635.pdf,1068,97,84,207,375,375
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_672.pdf,2024.emnlp-main.672.pdf,2024_emnlp-main_672.pdf,452,36,22,175,92,92
ChatGPT\Long Prompt\Unscanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,807,112,19,275,64,64
ChatGPT\Long Prompt\Scanned,[Compare Report] 2023_emnlp-main_118.pdf,2023.emnlp-main.118.pdf,2023_emnlp-main_118.pdf,1050,65,50,300,343,343
ChatGPT\Long Prompt\Scanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,807,72,37,206,286,286
ChatGPT\Long Prompt\Scanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,884,32,15,272,221,221
ChatGPT\Long Prompt\Scanned,[Compare Report] 2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,916,61,20,247,303,303
ChatGPT\Long Prompt\Scanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,967,69,72,89,414,414
ChatGPT\Long Prompt\Scanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,887,100,71,185,320,320
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,772,17,74,276,131,131
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,598,12,9,360,16,16
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_767.pdf,2024.emnlp-main.767.pdf,2024_emnlp-main_767.pdf,1113,17,3,569,10,10
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,1351,79,21,433,221,221
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_888.pdf,2024.emnlp-main.888.pdf,2024_emnlp-main_888.pdf,542,24,21,220,63,63
Gemini\Unscanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,956,59,35,164,322,322
Gemini\Unscanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,783,29,67,278,143,143
Gemini\Scanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,985,169,71,229,316,316
Gemini\Scanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,488,15,5,288,17,17
Gemini\Scanned,[Compare Report] 2024_emnlp-main_508.pdf,2024.emnlp-main.508.pdf,2024_emnlp-main_508.pdf,556,40,9,259,11,11
Gemini\Scanned,[Compare Report] 2024_emnlp-main_831.pdf,2024.emnlp-main.831.pdf,2024_emnlp-main_831.pdf,1449,70,163,710,400,400
Gemini\Scanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,1227,157,131,266,379,379
Gemini\Scanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,730,15,17,343,27,27
Gemini\Scanned,[Compare Report] 2024_emnlp-main_1022.pdf,2024.emnlp-main.1022.pdf,2024_emnlp-main_1022.pdf,740,18,0,380,10,10
Gemini\Scanned,[Compare Report] 2024_emnlp-main_1067.pdf,2024.emnlp-main.1067.pdf,2024_emnlp-main_1067.pdf,611,16,3,307,10,10
Deepseek\Scanned,[Compare Report] 2023_emnlp-main_118.pdf,2023.emnlp-main.118.pdf,2023_emnlp-main_118.pdf,1400,86,177,313,531,531
Deepseek\Scanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,1267,82,135,154,554,554
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,1246,100,161,385,328,328
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_156.pdf,2024.emnlp-main.156.pdf,2024_emnlp-main_156.pdf,1290,192,132,208,631,631
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_228.pdf,2024.emnlp-main.228.pdf,2024_emnlp-main_228.pdf,939,122,109,219,347,347
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_238.pdf,2024.emnlp-main.238.pdf,2024_emnlp-main_238.pdf,353,22,4,194,3,3
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_260.pdf,2024.emnlp-main.260.pdf,2024_emnlp-main_260.pdf,1056,120,136,202,415,415
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,941,109,67,61,382,382
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_302.pdf,2024.emnlp-main.302.pdf,2024_emnlp-main_302.pdf,861,125,116,199,251,251
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_324.pdf,2024.emnlp-main.324.pdf,2024_emnlp-main_324.pdf,739,114,57,156,253,253
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,1047,113,151,188,432,432
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,962,91,112,133,420,420
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,714,72,50,178,255,255
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,1079,93,126,281,382,382
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_508.pdf,2024.emnlp-main.508.pdf,2024_emnlp-main_508.pdf,1100,92,148,182,441,441
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_524.pdf,2024.emnlp-main.524.pdf,2024_emnlp-main_524.pdf,1957,140,227,294,775,775
Deepseek\Scanned,[Compare Report] 2024.emnlp-main.553.pdf,2024_emnlp-main_553.pdf,2024.emnlp-main.553.pdf,1144,180,387,57,67,67
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_663..pdf,2024.emnlp-main.663.pdf,2024_emnlp-main_663..pdf,928,78,139,173,362,362
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_672.pdf,2024.emnlp-main.672.pdf,2024_emnlp-main_672.pdf,605,67,46,94,263,263
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_701.pdf,2024.emnlp-main.701.pdf,2024_emnlp-main_701.pdf,376,37,36,43,182,182
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_704.pdf,2024.emnlp-main.704.pdf,2024_emnlp-main_704.pdf,945,112,135,268,218,218
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,1327,113,188,163,527,527
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_767.pdf,2024.emnlp-main.767.pdf,2024_emnlp-main_767.pdf,1607,77,147,272,597,597
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_830.pdf,2024.emnlp-main.830.pdf,2024_emnlp-main_830.pdf,604,61,95,75,251,251
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_831.pdf,2024.emnlp-main.831.pdf,2024_emnlp-main_831.pdf,1449,70,163,710,400,400
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_869.pdf,2024.emnlp-main.869.pdf,2024_emnlp-main_869.pdf,671,43,99,91,279,279
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,2082,167,173,322,818,818
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_888.pdf,2024.emnlp-main.888.pdf,2024_emnlp-main_888.pdf,772,68,29,197,238,238
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_915.pdf,2024.emnlp-main.915.pdf,2024_emnlp-main_915.pdf,1101,104,185,235,408,408
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,1253,53,137,155,532,532
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1071,104,99,142,396,396
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1022.pdf,2024.emnlp-main.1022.pdf,2024_emnlp-main_1022.pdf,1815,216,127,324,715,715
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1025.pdf,2024.emnlp-main.1025.pdf,2024_emnlp-main_1025.pdf,922,111,105,380,230,230
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1026.pdf,2024.emnlp-main.1026.pdf,2024_emnlp-main_1026.pdf,994,77,116,119,445,445
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1055.pdf,2024.emnlp-main.1055.pdf,2024_emnlp-main_1055.pdf,944,99,83,147,387,387
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1067.pdf,2024.emnlp-main.1067.pdf,2024_emnlp-main_1067.pdf,1224,127,154,246,418,418
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1127.pdf,2024.emnlp-main.1127.pdf,2024_emnlp-main_1127.pdf,608,92,79,152,202,202
Deepseek\Scanned,[Compare Report] 2024_emnlp-main_1156.pdf,2024.emnlp-main.1156.pdf,2024_emnlp-main_1156.pdf,1588,104,205,319,606,606
Deepseek\Scanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,1177,102,70,177,491,491
Deepseek\Scanned,[Compare Report] PrimacyEffect.pdf,PrimacyEffectofChatGPT.pdf,PrimacyEffect.pdf,744,63,86,172,267,267
Deepseek\Scanned,[Compare Report] T5ForAfricanLanguage.pdf,T5ModelsForAfricanLanguages.pdf,T5ForAfricanLanguage.pdf,1072,101,44,298,390,390
Deepseek\Unscanned,[Compare Report] 2023_emnlp-main_118.pdf,2023.emnlp-main.118.pdf,2023_emnlp-main_118.pdf,1361,93,145,353,479,479
Deepseek\Unscanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,914,98,95,176,344,344
Deepseek\Unscanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,1309,77,158,171,562,562
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,1233,96,150,366,350,350
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_156.pdf,2024.emnlp-main.156.pdf,2024_emnlp-main_156.pdf,1232,123,180,167,558,558
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_228.pdf,2024.emnlp-main.228.pdf,2024_emnlp-main_228.pdf,906,59,111,132,408,408
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_238.pdf,2024.emnlp-main.238.pdf,2024_emnlp-main_238.pdf,861,121,109,147,265,265
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_260.pdf,2024.emnlp-main.260.pdf,2024_emnlp-main_260.pdf,991,79,150,293,303,303
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,1219,108,94,133,561,561
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_302.pdf,2024.emnlp-main.302.pdf,2024_emnlp-main_302.pdf,908,81,114,136,366,366
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_324.pdf,2024.emnlp-main.324.pdf,2024_emnlp-main_324.pdf,1278,58,558,100,352,352
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,1073,116,177,247,379,379
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,1037,86,133,163,447,447
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,1142,163,105,171,523,523
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,1122,159,125,357,345,345
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_445.pdf,2024.emnlp-main.445.pdf,2024_emnlp-main_445.pdf,702,94,70,158,319,319
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_508.pdf,2024.emnlp-main.508.pdf,2024_emnlp-main_508.pdf,1033,65,139,122,474,474
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_524.pdf,2024.emnlp-main.524.pdf,2024_emnlp-main_524.pdf,1758,165,137,266,651,651
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_672.pdf,2024.emnlp-main.672.pdf,2024_emnlp-main_672.pdf,738,88,116,98,300,300
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_701.pdf,2024.emnlp-main.701.pdf,2024_emnlp-main_701.pdf,423,33,62,113,137,137
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_704.pdf,2024.emnlp-main.704.pdf,2024_emnlp-main_704.pdf,1164,110,154,261,427,427
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,1043,54,134,320,207,207
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_767.pdf,2024.emnlp-main.767.pdf,2024_emnlp-main_767.pdf,1554,72,152,292,524,524
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_773.pdf,2024.emnlp-main.773.pdf,2024_emnlp-main_773.pdf,742,70,84,124,326,326
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_830.pdf,2024.emnlp-main.830.pdf,2024_emnlp-main_830.pdf,598,55,92,90,239,239
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_831.pdf,2024.emnlp-main.831.pdf,2024_emnlp-main_831.pdf,1484,81,157,683,451,451
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_869.pdf,2024.emnlp-main.869.pdf,2024_emnlp-main_869.pdf,641,50,80,86,266,266
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,1824,200,84,279,661,661
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_888.pdf,2024.emnlp-main.888.pdf,2024_emnlp-main_888.pdf,1241,172,133,184,512,512
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_915.pdf,2024.emnlp-main.915.pdf,2024_emnlp-main_915.pdf,873,103,61,258,278,278
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,1393,111,152,188,562,562
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1032,83,110,140,369,369
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1025.pdf,2024.emnlp-main.1025.pdf,2024_emnlp-main_1025.pdf,843,107,116,244,286,286
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1026.pdf,2024.emnlp-main.1026.pdf,2024_emnlp-main_1026.pdf,1031,74,139,113,468,468
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1067.pdf,2024.emnlp-main.1067.pdf,2024_emnlp-main_1067.pdf,1360,125,234,149,580,580
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1069.pdf,2024.emnlp-main.1069.pdf,2024_emnlp-main_1069.pdf,1219,119,109,251,433,433
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1088.pdf,2024.emnlp-main.1088.pdf,2024_emnlp-main_1088.pdf,1310,49,172,215,506,506
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1127.pdf,2024.emnlp-main.1127.pdf,2024_emnlp-main_1127.pdf,562,49,34,161,235,235
Deepseek\Unscanned,[Compare Report] 2024_emnlp-main_1156.pdf,2024.emnlp-main.1156.pdf,2024_emnlp-main_1156.pdf,1456,99,194,281,536,536
Deepseek\Unscanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,1185,104,74,167,499,499
Deepseek\Unscanned,[Compare Report] PrimacyEffectOfChatGPT.pdf,PrimacyEffectofChatGPT.pdf,PrimacyEffectOfChatGPT.pdf,762,55,108,148,299,299
Deepseek\Unscanned,[Compare Report] T5ModelsForAfricanLanguages.pdf,T5ModelsForAfricanLanguages.pdf,T5ModelsForAfricanLanguages.pdf,1147,123,74,303,396,396
Qwen\Unscanned,[Compare Report] 2023_emnlp-main_118.pdf,2023.emnlp-main.118.pdf,2023_emnlp-main_118.pdf,1575,185,239,450,453,453
Qwen\Unscanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,1106,172,123,203,453,453
Qwen\Unscanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,1174,164,120,240,389,389
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,1304,132,239,302,345,345
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_156.pdf,2024.emnlp-main.156.pdf,2024_emnlp-main_156.pdf,179,10,13,66,36,36
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_228.pdf,2024.emnlp-main.228.pdf,2024_emnlp-main_228.pdf,895,68,121,239,290,290
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_238.pdf,2024.emnlp-main.238.pdf,2024_emnlp-main_238.pdf,914,81,110,154,355,355
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_260.pdf,2024.emnlp-main.260.pdf,2024_emnlp-main_260.pdf,1004,98,170,250,303,303
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,1140,126,202,336,153,153
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_302.pdf,2024.emnlp-main.302.pdf,2024_emnlp-main_302.pdf,856,97,153,191,257,257
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_324.pdf,2024.emnlp-main.324.pdf,2024_emnlp-main_324.pdf,649,11,84,225,119,119
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,618,64,64,261,66,66
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,975,58,141,146,422,422
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,1094,171,140,162,501,501
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,1115,143,176,311,352,352
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_445.pdf,2024.emnlp-main.445.pdf,2024_emnlp-main_445.pdf,768,78,161,214,252,252
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_508.pdf,2024.emnlp-main.508.pdf,2024_emnlp-main_508.pdf,902,67,166,273,159,159
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_524.pdf,2024.emnlp-main.524.pdf,2024_emnlp-main_524.pdf,1443,74,157,562,138,138
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_553.pdf,2024.emnlp-main.553.pdf,2024_emnlp-main_553.pdf,1507,169,171,390,328,328
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_635.pdf,2024.emnlp-main.635.pdf,2024_emnlp-main_635.pdf,1482,101,292,386,424,424
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_663.pdf,2024.emnlp-main.663.pdf,2024_emnlp-main_663.pdf,701,47,135,266,77,77
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_672.pdf,2024.emnlp-main.672.pdf,2024_emnlp-main_672.pdf,637,55,140,88,218,218
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_701.pdf,2024.emnlp-main.701.pdf,2024_emnlp-main_701.pdf,350,55,44,108,65,65
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_704.pdf,2024.emnlp-main.704.pdf,2024_emnlp-main_704.pdf,975,66,222,342,133,133
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,1378,198,248,273,323,323
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_767.pdf,2024.emnlp-main.767.pdf,2024_emnlp-main_767.pdf,1589,263,174,261,725,725
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_773.pdf,2024.emnlp-main.773.pdf,2024_emnlp-main_773.pdf,741,58,115,227,203,203
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_830.pdf,2024.emnlp-main.830.pdf,2024_emnlp-main_830.pdf,626,93,118,146,172,172
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_831.pdf,2024.emnlp-main.831.pdf,2024_emnlp-main_831.pdf,1383,82,193,636,359,359
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_869.pdf,2024.emnlp-main.869.pdf,2024_emnlp-main_869.pdf,629,59,105,116,190,190
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,2106,238,268,437,561,561
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_888.pdf,2024.emnlp-main.888.pdf,2024_emnlp-main_888.pdf,881,83,112,286,171,171
